ID,Name,Macroarea,Latitude,Longitude,Glottocode,ISO639P3code,Lineage_0,Lineage_1,Lineage_2,Lineage_3,Lineage_4,Lineage_5,Isolate,WALS_Area,Autotyp,Country,Ancient,Papuan,Altitude,Eastness,Ethnologue_Ethnic_Population,Adjusted_Population,Social_Region
741,Ngbaka,Africa,5.0,21.5,ngba1285,nga,Adamawa-Ubangi,Ubangi,,,,,false,Africa,West Africa,ZR,false,false,413.0,41.5,1016650,1016650,Africa_SubSaharan
742,Nzakara,Africa,4.5,22.5,nzak1247,nzk,Adamawa-Ubangi,Ubangi,,,,,false,Africa,West Africa,CF,false,false,541.0,42.5,50000,50000,Africa_SubSaharan
743,Samba,Africa,8.35,12.25,samb1305,ndi,Adamawa-Ubangi,Adamawa,,,,,false,Africa,West Africa,NG,false,false,354.0,32.25,62000,62000,Africa_SubSaharan
744,Sango,Africa,5.0,18.0,sang1328,sag,Adamawa-Ubangi,Ubangi,,,,,false,Africa,West Africa,CF,false,false,639.0,38.0,404000,404000,Africa_SubSaharan
745,Zande,Africa,4.0,26.0,zand1248,zne,Adamawa-Ubangi,Ubangi,,,,,false,Africa,West Africa,ZR,false,false,603.0,46.0,1142000,1142000,Africa_SubSaharan
746,Babungo,Africa,6.12,10.42,veng1238,bav,Niger-Kongo,Bantoid,Southern,Wide Grassfields,Narrow Grassfields,Ring,false,Africa,West Africa,CM,false,false,1746.0,30.42,27000,27000,Africa_SubSaharan
747,Basaa,Africa,5.0,10.15,basa1284,bas,Niger-Kongo,Bantoid,Southern,Narrow Bantu,Northwest,A,false,Africa,West Africa,CM,false,false,177.0,30.15,230000,230000,Africa_SubSaharan
748,Bembe,Africa,-4.0,14.0,bemb1255,bmb,Niger-Kongo,Bantoid,Southern,Narrow Bantu,Central,D,false,Africa,Southern Africa,ZR,false,false,401.0,34.0,296000,296000,Africa_SubSaharan
749,Bobangi,Africa,0.0,17.8,bang1354,bni,Niger-Kongo,Bantoid,Southern,Narrow Bantu,Northwest,C,false,Africa,Southern Africa,ZR,false,false,0.0,37.8,118740,118740,Africa_SubSaharan
750,Bushong,Africa,-4.67,21.3,bush1247,buf,Niger-Kongo,Bantoid,Southern,Narrow Bantu,Northwest,C,false,Africa,Southern Africa,ZR,false,false,489.0,41.3,155000,155000,Africa_SubSaharan
751,ChiNyanja,Africa,-15.0,35.0,nyan1308,nya,Niger-Kongo,Bantoid,Southern,Narrow Bantu,Central,N,false,Africa,Southern Africa,MW,false,false,587.0,55.0,8659700,8659700,Africa_SubSaharan
752,Duala,Africa,4.3,9.8,dual1243,dua,Niger-Kongo,Bantoid,Southern,Narrow Bantu,Northwest,A,false,Africa,West Africa,CM,false,false,37.0,29.8,87700,87700,Africa_SubSaharan
753,Ewondo,Africa,4.5,12.0,ewon1239,ewo,Niger-Kongo,Bantoid,Southern,Narrow Bantu,Northwest,A,false,Africa,West Africa,CM,false,false,581.0,32.0,578000,578000,Africa_SubSaharan
754,Holoholo,Africa,-5.5,28.25,holo1240,hoo,Niger-Kongo,Bantoid,Southern,Narrow Bantu,Central,D,false,Africa,Southern Africa,ZR,false,false,720.0,48.25,15500,15500,Africa_SubSaharan
755,Jarawa,Africa,9.9,9.8,jara1263,jar,Niger-Kongo,Bantoid,Southern,Jarawan,,,false,Africa,West Africa,NG,false,false,563.0,29.8,150000,150000,Africa_SubSaharan
756,Kamba,Africa,-2.0,38.0,kamb1297,kam,Niger-Kongo,Bantoid,Southern,Narrow Bantu,Central,E,false,Africa,Southern Africa,KE,false,false,889.0,58.0,3960000,3960000,Africa_SubSaharan
757,Gikuyu,Africa,-0.75,36.75,kiku1240,kik,Niger-Kongo,Bantoid,Southern,Narrow Bantu,Central,E,false,Africa,Southern Africa,KE,false,false,2519.0,56.75,7180000,7180000,Africa_SubSaharan
758,Kiluba,Africa,-8.5,26.0,luba1250,lub,Niger-Kongo,Bantoid,Southern,Narrow Bantu,Central,L,false,Africa,Southern Africa,ZR,false,false,823.0,46.0,1510000,1510000,Africa_SubSaharan
759,KinyaRwanda,Africa,-2.0,30.0,kiny1244,kin,Niger-Kongo,Bantoid,Southern,Narrow Bantu,Central,J,false,Africa,Southern Africa,RW,false,false,1354.0,50.0,7504900,7504900,Africa_SubSaharan
760,Kongo,Africa,-5.0,15.0,koon1244,kng,Niger-Kongo,Bantoid,Southern,Narrow Bantu,Central,H,false,Africa,Southern Africa,ZR,false,false,610.0,35.0,5000000,5000000,Africa_SubSaharan
761,Kwangari,Africa,-18.5,20.0,kwan1273,kwn,Niger-Kongo,Bantoid,Southern,Narrow Bantu,Central,K,false,Africa,Southern Africa,NA,false,false,1134.0,40.0,84000,84000,Africa_SubSaharan
762,Lamba,Africa,9.8,10.5,lamb1271,lam,Niger-Kongo,Gur,,,,,false,Africa,West Africa,ZM,false,false,297.0,30.5,219000,219000,Africa_SubSaharan
763,Lingala,Africa,2.0,18.5,ling1263,lin,Niger-Kongo,Bantoid,Southern,Narrow Bantu,Northwest,C,false,Africa,Southern Africa,ZR,false,false,0.0,38.5,2141300,2141300,Africa_SubSaharan
764,Lozi,Africa,-15.0,23.0,lozi1239,loz,Niger-Kongo,Bantoid,Southern,Narrow Bantu,Central,K,false,Africa,Southern Africa,ZM,false,false,1020.0,43.0,722600,722600,Africa_SubSaharan
765,LuGanda,Africa,0.5,32.17,gand1255,lug,Niger-Kongo,Bantoid,Southern,Narrow Bantu,Central,J,false,Africa,Southern Africa,UG,false,false,1129.0,52.17,4130000,4130000,Africa_SubSaharan
766,Luvale,Africa,-12.0,22.0,luva1239,lue,Niger-Kongo,Bantoid,Southern,Narrow Bantu,Central,K,false,Africa,Southern Africa,AO,false,false,1081.0,42.0,464000,464000,Africa_SubSaharan
767,Maha,Africa,10.67,11.7,maak1236,mew,Afro-Asiatic,Chadic,,,,,false,Africa,West Africa,CM,false,false,280.0,31.7,80000,80000,Africa_SubSaharan
768,Makua,Africa,-15.0,38.0,makh1264,vmw,Niger-Kongo,Bantoid,Southern,Narrow Bantu,Central,P,false,Africa,Southern Africa,MZ,false,false,517.0,58.0,3090000,3090000,Africa_SubSaharan
769,Mambila,Africa,6.75,11.5,nige1255,mzk,Niger-Kongo,Bantoid,Northern,Mambiloid,,,false,Africa,West Africa,CM,false,false,1400.0,31.5,129900,129900,Africa_SubSaharan
770,Mambwe,Africa,-9.0,31.0,mamb1296,mgr,Niger-Kongo,Bantoid,Southern,Narrow Bantu,Central,F,false,Africa,Southern Africa,ZM,false,false,1390.0,51.0,674000,674000,Africa_SubSaharan
771,Mongo_Oli,Africa,4.1,9.5,mong1338,lol,Niger-Kongo,Bantoid,Southern,Narrow Bantu,Northwest,C,false,Africa,West Africa,ZR,false,false,7.0,29.5,400000,400000,Africa_SubSaharan
772,Mwera,Africa,-10.0,39.0,mwer1248,mwe,Niger-Kongo,Bantoid,Southern,Narrow Bantu,Central,P,false,Africa,Southern Africa,TZ,false,false,365.0,59.0,469000,469000,Africa_SubSaharan
773,Ndebele,Africa,-20.0,28.5,sout2808,nbl,Niger-Kongo,Bantoid,Southern,Narrow Bantu,Central,S,false,Africa,Southern Africa,ZA,false,false,1265.0,48.5,640000,640000,Africa_SubSaharan
774,Ndonga,Africa,-18.0,17.0,ndon1254,ndo,Niger-Kongo,Bantoid,Southern,Narrow Bantu,Central,R,false,Africa,Southern Africa,NA,false,false,1137.0,37.0,1070000,1070000,Africa_SubSaharan
775,Ndumu,Africa,-1.75,13.6,ndum1239,nmd,Niger-Kongo,Bantoid,Southern,Narrow Bantu,Northwest,B,false,Africa,Southern Africa,GA,false,false,406.0,33.6,4310,4310,Africa_SubSaharan
776,Nkore-Kiga,Africa,-0.92,29.83,chig1238,cgg,Niger-Kongo,Bantoid,Southern,Narrow Bantu,Central,J,false,Africa,Southern Africa,UG,false,false,1746.0,49.83,1580000,1580000,Africa_SubSaharan
777,Noni,Africa,6.42,10.58,noon1243,nhu,Niger-Kongo,Bantoid,Southern,Beboid,,,false,Africa,West Africa,CM,false,false,1282.0,30.58,25000,25000,Africa_SubSaharan
778,Ntomba,Africa,-1.0,18.0,ntom1248,nto,Niger-Kongo,Bantoid,Southern,Narrow Bantu,Northwest,C,false,Africa,Southern Africa,ZR,false,false,316.0,38.0,100000,100000,Africa_SubSaharan
779,Pare,Africa,-4.0,36.5,asut1235,asa,Niger-Kongo,Bantoid,Southern,Narrow Bantu,Central,G,false,Africa,Southern Africa,TZ,false,false,0.0,56.5,500000,500000,Africa_SubSaharan
780,Ronga,Africa,-26.0,32.5,rong1268,rng,Niger-Kongo,Bantoid,Southern,Narrow Bantu,Central,S,false,Africa,Southern Africa,MZ,false,false,1.0,52.5,722000,722000,Africa_SubSaharan
781,Runyankore,Africa,-0.5,30.5,nyan1307,nyn,Niger-Kongo,Bantoid,Southern,Narrow Bantu,Central,J,false,Africa,Southern Africa,UG,false,false,1472.0,50.5,2330000,2330000,Africa_SubSaharan
782,Nyoro,Africa,1.5,31.0,nyor1246,nyo,Niger-Kongo,Bantoid,Southern,Narrow Bantu,Central,J,false,Africa,Southern Africa,UG,false,false,675.0,51.0,667000,667000,Africa_SubSaharan
783,Sesotho,Africa,-28.0,27.0,sout2807,sot,Niger-Kongo,Bantoid,Southern,Narrow Bantu,Central,S,false,Africa,Southern Africa,ZA,false,false,1380.0,47.0,4240000,4240000,Africa_SubSaharan
